Name
my back hurts
my abdomen hurts
my chest hurts
my ear hurts
my head hurts
my pelvis hurts
my tooth hurts
my rectum hurts
my skin hurts
my arm hurts
my leg hurts
I feel chills
I feel fever
I have the chills
I have a fever
I have paresthesia
I am dizzy
I feel dizzy
my mouth is dry
I feel nausea
I feel nauseated
I feel sick
I feel like I have to vomit
I feel short of breath
I feel sleepy
I feel sweaty
I feel thirsty
I feel tired
I feel weak
I can't breathe
I can't hear
I am losing hearing
I can't move
I can't urine
I can't pee
I can't see
I can't sleep
I can't smell
I can't speak
I can't swallow
I can't taste
I can't walk
I can't run
I can't sit
I can't write
